"data","loja","tipoCliente","qtde","totalVendido","lucro","margemPercentualMedia"
"21/1/2017","Balibeach - SP","0","22","850,00","264,77","31,15"
"21/1/2017","Balibeach - SP","1","59","1661,60","558,72","33,63"
"21/1/2017","BALIBEACH RIO","1","345","5405,00","2339,10","43,28"
"23/1/2017","Balibeach - SP","0","9","340,00","84,47","24,84"
"23/1/2017","Balibeach - SP","1","1022","11849,00","4294,09","36,24"
"23/1/2017","BALIBEACH RIO","0","2","45,00","12,26","27,25"
"23/1/2017","BALIBEACH RIO","1","677","10176,00","4627,81","45,48"
"24/1/2017","Balibeach - SP","0","3","80,00","32,73","40,92"
"24/1/2017","Balibeach - SP","1","63","1597,00","585,41","36,66"
"24/1/2017","BALIBEACH RIO","0","2","56,00","0,29","0,52"
"24/1/2017","BALIBEACH RIO","1","75","1567,00","599,50","38,26"
"25/1/2017","BALIBEACH RIO","1","101","1906,00","699,26","36,69"
"26/1/2017","Balibeach - SP","0","7","310,00","99,80","32,19"
"26/1/2017","Balibeach - SP","1","2978","45300,00","19266,42","42,53"
"26/1/2017","BALIBEACH RIO","0","1","54,00","8,45","15,65"
"26/1/2017","BALIBEACH RIO","1","160","3058,50","872,26","28,52"
"27/1/2017","Balibeach - SP","0","7","105,00","37,02","35,25"
"27/1/2017","Balibeach - SP","1","162","3637,90","1475,91","40,57"
"27/1/2017","BALIBEACH RIO","0","3","84,00","41,03","48,84"
"27/1/2017","BALIBEACH RIO","1","134","2335,00","802,11","34,35"
"30/1/2017","Balibeach - SP","0","106","1655,00","1205,82","72,86"
"30/1/2017","Balibeach - SP","1","2297","33646,00","15608,44","46,39"
"30/1/2017","BALIBEACH RIO","1","125","2515,00","824,00","32,76"
"31/1/2017","Balibeach - SP","0","2","70,00","33,86","48,37"
"31/1/2017","BALIBEACH RIO","0","6","194,00","59,26","30,55"
"31/1/2017","BALIBEACH RIO","1","56","1372,00","443,58","32,33"
"1/2/2017","Balibeach - SP","0","2","70,00","30,88","44,11"
"1/2/2017","Balibeach - SP","1","911","12573,00","5542,53","44,08"
"1/2/2017","BALIBEACH RIO","1","228","3504,00","1358,35","38,77"
"2/2/2017","Balibeach - SP","0","157","2096,00","1348,85","64,35"
"2/2/2017","Balibeach - SP","1","214","4333,50","1833,67","42,31"
"3/2/2017","Balibeach - SP","0","13","550,00","184,11","33,47"
"3/2/2017","Balibeach - SP","1","97","1661,60","578,33","34,81"
"3/2/2017","BALIBEACH RIO","1","499","7797,00","3208,34","41,15"
"4/2/2017","Balibeach - SP","0","24","969,00","306,05","31,58"
"4/2/2017","Balibeach - SP","1","13","566,00","181,88","32,13"
"4/2/2017","BALIBEACH RIO","0","6","194,00","63,85","32,91"
"4/2/2017","BALIBEACH RIO","1","98","1670,00","730,20","43,72"
"6/2/2017","Balibeach - SP","0","10","363,00","135,11","37,22"
